_TIME_PERIOD,_OBS_VALUE,_OBS_STATUS,_OBS_CONF
04/01/1999,0.7111,A,F
05/01/1999,0.7122,A,F
06/01/1999,0.7076,A,F
07/01/1999,0.70585,A,F
08/01/1999,0.7094,A,F
11/01/1999,0.7044,A,F
12/01/1999,0.7066,A,F
13/01/1999,0.7084,A,F
14/01/1999,0.7062,A,F
15/01/1999,0.7039,A,F
18/01/1999,0.7013,A,F
19/01/1999,0.7,A,F
20/01/1999,0.7014,A,F
21/01/1999,0.7023,A,F
22/01/1999,0.7005,A,F
25/01/1999,0.6989,A,F
26/01/1999,0.6976,A,F
27/01/1999,0.6968,A,F
28/01/1999,0.6928,A,F
29/01/1999,0.691,A,F
01/02/1999,0.6904,A,F
02/02/1999,0.6888,A,F
03/02/1999,0.6925,A,F
04/02/1999,0.6894,A,F
05/02/1999,0.6885,A,F
08/02/1999,0.6888,A,F
09/02/1999,0.6911,A,F
10/02/1999,0.6954,A,F
11/02/1999,0.6975,A,F
12/02/1999,0.6917,A,F
15/02/1999,0.6895,A,F
16/02/1999,0.6854,A,F
17/02/1999,0.6873,A,F
18/02/1999,0.6871,A,F
19/02/1999,0.6838,A,F
22/02/1999,0.6789,A,F
23/02/1999,0.6796,A,F
24/02/1999,0.6883,A,F
25/02/1999,0.6888,A,F
26/02/1999,0.6873,A,F
01/03/1999,0.6829,A,F
02/03/1999,0.6764,A,F
03/03/1999,0.6723,A,F
04/03/1999,0.6759,A,F
05/03/1999,0.6737,A,F
08/03/1999,0.6776,A,F
09/03/1999,0.6754,A,F
10/03/1999,0.6746,A,F
11/03/1999,0.6694,A,F
12/03/1999,0.6686,A,F
15/03/1999,0.6739,A,F
16/03/1999,0.6703,A,F
17/03/1999,0.6744,A,F
18/03/1999,0.676,A,F
19/03/1999,0.6708,A,F
22/03/1999,0.6677,A,F
23/03/1999,0.6706,A,F
24/03/1999,0.6653,A,F
25/03/1999,0.6668,A,F
26/03/1999,0.665,A,F
29/03/1999,0.6615,A,F
30/03/1999,0.6638,A,F
31/03/1999,0.6663,A,F
01/04/1999,0.669,A,F
02/04/1999,0.672,A,F
05/04/1999,0.6702,A,F
06/04/1999,0.6759,A,F
07/04/1999,0.6772,A,F
08/04/1999,0.6731,A,F
09/04/1999,0.6724,A,F
12/04/1999,0.6723,A,F
13/04/1999,0.6671,A,F
14/04/1999,0.6667,A,F
15/04/1999,0.6682,A,F
16/04/1999,0.6633,A,F
19/04/1999,0.6586,A,F
20/04/1999,0.6589,A,F
21/04/1999,0.6593,A,F
22/04/1999,0.6585,A,F
23/04/1999,0.6583,A,F
26/04/1999,0.6569,A,F
27/04/1999,0.6587,A,F
28/04/1999,0.6583,A,F
29/04/1999,0.6584,A,F
30/04/1999,0.6571,A,F
03/05/1999,0.6571,A,F
04/05/1999,0.6553,A,F
05/05/1999,0.6552,A,F
06/05/1999,0.6601,A,F
