"Time (CET/CEST)","BZN|NL > BZN|GB [MW]","BZN|GB > BZN|NL [MW]"
"01.01.2022 00:00 - 01.01.2022 01:00","633","0"
"01.01.2022 01:00 - 01.01.2022 01:15","591","0"
"01.01.2022 01:15 - 01.01.2022 01:30","591","0"
"01.01.2022 01:30 - 01.01.2022 01:45","591","0"
"01.01.2022 01:45 - 01.01.2022 02:00","591","0"
"01.01.2022 02:00 - 01.01.2022 02:15","456","0"
"01.01.2022 02:15 - 01.01.2022 02:30","456","0"
"01.01.2022 02:30 - 01.01.2022 02:45","456","0"
"01.01.2022 02:45 - 01.01.2022 03:00","456","0"
"01.01.2022 03:00 - 01.01.2022 03:15","0","412"
"01.01.2022 03:15 - 01.01.2022 03:30","0","412"
"01.01.2022 03:30 - 01.01.2022 03:45","0","412"
"01.01.2022 03:45 - 01.01.2022 04:00","0","412"
"01.01.2022 04:00 - 01.01.2022 04:15","0","795"
"01.01.2022 04:15 - 01.01.2022 04:30","0","795"
"01.01.2022 04:30 - 01.01.2022 04:45","0","795"
"01.01.2022 04:45 - 01.01.2022 05:00","0","795"
"01.01.2022 05:00 - 01.01.2022 05:15","0","994"
"01.01.2022 05:15 - 01.01.2022 05:30","0","994"
"01.01.2022 05:30 - 01.01.2022 05:45","0","994"
"01.01.2022 05:45 - 01.01.2022 06:00","0","994"
"01.01.2022 06:00 - 01.01.2022 06:15","0","995"
"01.01.2022 06:15 - 01.01.2022 06:30","0","995"
"01.01.2022 06:30 - 01.01.2022 06:45","0","995"
"01.01.2022 06:45 - 01.01.2022 07:00","0","995"
"01.01.2022 07:00 - 01.01.2022 07:15","0","995"
"01.01.2022 07:15 - 01.01.2022 07:30","0","995"
"01.01.2022 07:30 - 01.01.2022 07:45","0","995"
"01.01.2022 07:45 - 01.01.2022 08:00","0","995"
"01.01.2022 08:00 - 01.01.2022 08:15","0","995"
"01.01.2022 08:15 - 01.01.2022 08:30","0","995"
"01.01.2022 08:30 - 01.01.2022 08:45","0","995"
