"Time (CET/CEST)","BZN|FR > BZN|GB [MW]","BZN|GB > BZN|FR [MW]"
"01.01.2018 00:00 - 01.01.2018 01:00","1706","0"
"01.01.2018 01:00 - 01.01.2018 02:00","1409","0"
"01.01.2018 02:00 - 01.01.2018 03:00","1410","0"
"01.01.2018 03:00 - 01.01.2018 04:00","1316","0"
"01.01.2018 04:00 - 01.01.2018 05:00","1318","0"
"01.01.2018 05:00 - 01.01.2018 06:00","1318","0"
"01.01.2018 06:00 - 01.01.2018 07:00","1318","0"
"01.01.2018 07:00 - 01.01.2018 08:00","1319","0"
"01.01.2018 08:00 - 01.01.2018 09:00","821","0"
"01.01.2018 09:00 - 01.01.2018 10:00","710","0"
"01.01.2018 10:00 - 01.01.2018 11:00","1315","0"
"01.01.2018 11:00 - 01.01.2018 12:00","1818","0"
"01.01.2018 12:00 - 01.01.2018 13:00","1818","0"
"01.01.2018 13:00 - 01.01.2018 14:00","1818","0"
"01.01.2018 14:00 - 01.01.2018 15:00","1818","0"
"01.01.2018 15:00 - 01.01.2018 16:00","1812","0"
"01.01.2018 16:00 - 01.01.2018 17:00","2015","0"
"01.01.2018 17:00 - 01.01.2018 18:00","2016","0"
"01.01.2018 18:00 - 01.01.2018 19:00","2016","0"
"01.01.2018 19:00 - 01.01.2018 20:00","2016","0"
"01.01.2018 20:00 - 01.01.2018 21:00","2015","0"
"01.01.2018 21:00 - 01.01.2018 22:00","2016","0"
"01.01.2018 22:00 - 01.01.2018 23:00","1814","0"
"01.01.2018 23:00 - 02.01.2018 00:00","1617","0"
"02.01.2018 00:00 - 02.01.2018 01:00","1614","0"
"02.01.2018 01:00 - 02.01.2018 02:00","1614","0"
"02.01.2018 02:00 - 02.01.2018 03:00","1614","0"
"02.01.2018 03:00 - 02.01.2018 04:00","1614","0"
"02.01.2018 04:00 - 02.01.2018 05:00","1614","0"
"02.01.2018 05:00 - 02.01.2018 06:00","1615","0"
"02.01.2018 06:00 - 02.01.2018 07:00","1818","0"
"02.01.2018 07:00 - 02.01.2018 08:00","1911","0"
"02.01.2018 08:00 - 02.01.2018 09:00","2013","0"
"02.01.2018 09:00 - 02.01.2018 10:00","2012","0"
"02.01.2018 10:00 - 02.01.2018 11:00","2013","0"
"02.01.2018 11:00 - 02.01.2018 12:00","2014","0"
"02.01.2018 12:00 - 02.01.2018 13:00","2013","0"
"02.01.2018 13:00 - 02.01.2018 14:00","2013","0"
"02.01.2018 14:00 - 02.01.2018 15:00","2012","0"
"02.01.2018 15:00 - 02.01.2018 16:00","2011","0"
"02.01.2018 16:00 - 02.01.2018 17:00","2013","0"
"02.01.2018 17:00 - 02.01.2018 18:00","2012","0"
"02.01.2018 18:00 - 02.01.2018 19:00","2013","0"
"02.01.2018 19:00 - 02.01.2018 20:00","2013","0"
"02.01.2018 20:00 - 02.01.2018 21:00","2013","0"
"02.01.2018 21:00 - 02.01.2018 22:00","2013","0"
"02.01.2018 22:00 - 02.01.2018 23:00","2012","0"
"02.01.2018 23:00 - 03.01.2018 00:00","2013","0"
"03.01.2018 00:00 - 03.01.2018 01:00","1615","0"
"03.01.2018 01:00 - 03.01.2018 02:00","1508","0"
"03.01.2018 02:00 - 03.01.2018 03:00","1510","0"
"03.01.2018 03:00 - 03.01.2018 04:00","1509","0"
"03.01.2018 04:00 - 03.01.2018 05:00","1508","0"
"03.01.2018 05:00 - 03.01.2018 06:00","1510","0"
"03.01.2018 06:00 - 03.01.2018 07:00","1511","0"
"03.01.2018 07:00 - 03.01.2018 08:00","1809","0"
"03.01.2018 08:00 - 03.01.2018 09:00","2011","0"
"03.01.2018 09:00 - 03.01.2018 10:00","2012","0"
"03.01.2018 10:00 - 03.01.2018 11:00","2011","0"
"03.01.2018 11:00 - 03.01.2018 12:00","2011","0"
"03.01.2018 12:00 - 03.01.2018 13:00","2012","0"
"03.01.2018 13:00 - 03.01.2018 14:00","2012","0"
"03.01.2018 14:00 - 03.01.2018 15:00","2012","0"
"03.01.2018 15:00 - 03.01.2018 16:00","2012","0"
"03.01.2018 16:00 - 03.01.2018 17:00","2012","0"
"03.01.2018 17:00 - 03.01.2018 18:00","2012","0"
"03.01.2018 18:00 - 03.01.2018 19:00","2012","0"
"03.01.2018 19:00 - 03.01.2018 20:00","2013","0"
"03.01.2018 20:00 - 03.01.2018 21:00","2013","0"
"03.01.2018 21:00 - 03.01.2018 22:00","2012","0"
"03.01.2018 22:00 - 03.01.2018 23:00","2013","0"
"03.01.2018 23:00 - 04.01.2018 00:00","2014","0"
"04.01.2018 00:00 - 04.01.2018 01:00","2013","0"
"04.01.2018 01:00 - 04.01.2018 02:00","2015","0"
"04.01.2018 02:00 - 04.01.2018 03:00","2013","0"
"04.01.2018 03:00 - 04.01.2018 04:00","2011","0"
"04.01.2018 04:00 - 04.01.2018 05:00","2013","0"
"04.01.2018 05:00 - 04.01.2018 06:00","2010","0"
"04.01.2018 06:00 - 04.01.2018 07:00","2009","0"
"04.01.2018 07:00 - 04.01.2018 08:00","2012","0"
"04.01.2018 08:00 - 04.01.2018 09:00","2014","0"
"04.01.2018 09:00 - 04.01.2018 10:00","2017","0"
"04.01.2018 10:00 - 04.01.2018 11:00","2014","0"
"04.01.2018 11:00 - 04.01.2018 12:00","2014","0"
"04.01.2018 12:00 - 04.01.2018 13:00","2013","0"
"04.01.2018 13:00 - 04.01.2018 14:00","2011","0"
"04.01.2018 14:00 - 04.01.2018 15:00","2012","0"
"04.01.2018 15:00 - 04.01.2018 16:00","2012","0"
"04.01.2018 16:00 - 04.01.2018 17:00","2014","0"
"04.01.2018 17:00 - 04.01.2018 18:00","2016","0"
"04.01.2018 18:00 - 04.01.2018 19:00","2014","0"
"04.01.2018 19:00 - 04.01.2018 20:00","2013","0"
"04.01.2018 20:00 - 04.01.2018 21:00","2011","0"
"04.01.2018 21:00 - 04.01.2018 22:00","2011","0"
"04.01.2018 22:00 - 04.01.2018 23:00","2013","0"
"04.01.2018 23:00 - 05.01.2018 00:00","2014","0"
"05.01.2018 00:00 - 05.01.2018 01:00","2013","0"
"05.01.2018 01:00 - 05.01.2018 02:00","2016","0"
"05.01.2018 02:00 - 05.01.2018 03:00","2013","0"
"05.01.2018 03:00 - 05.01.2018 04:00","2012","0"
"05.01.2018 04:00 - 05.01.2018 05:00","2012","0"
"05.01.2018 05:00 - 05.01.2018 06:00","2013","0"
"05.01.2018 06:00 - 05.01.2018 07:00","2015","0"
"05.01.2018 07:00 - 05.01.2018 08:00","2015","0"
"05.01.2018 08:00 - 05.01.2018 09:00","2015","0"
"05.01.2018 09:00 - 05.01.2018 10:00","2016","0"
"05.01.2018 10:00 - 05.01.2018 11:00","2017","0"
"05.01.2018 11:00 - 05.01.2018 12:00","2015","0"
"05.01.2018 12:00 - 05.01.2018 13:00","2015","0"
"05.01.2018 13:00 - 05.01.2018 14:00","2015","0"
"05.01.2018 14:00 - 05.01.2018 15:00","2014","0"
"05.01.2018 15:00 - 05.01.2018 16:00","2015","0"
"05.01.2018 16:00 - 05.01.2018 17:00","2013","0"
"05.01.2018 17:00 - 05.01.2018 18:00","2015","0"
"05.01.2018 18:00 - 05.01.2018 19:00","2013","0"
"05.01.2018 19:00 - 05.01.2018 20:00","2015","0"
"05.01.2018 20:00 - 05.01.2018 21:00","2013","0"
"05.01.2018 21:00 - 05.01.2018 22:00","2014","0"
"05.01.2018 22:00 - 05.01.2018 23:00","2014","0"
"05.01.2018 23:00 - 06.01.2018 00:00","2013","0"
"06.01.2018 00:00 - 06.01.2018 01:00","2014","0"
"06.01.2018 01:00 - 06.01.2018 02:00","2014","0"
"06.01.2018 02:00 - 06.01.2018 03:00","1813","0"
"06.01.2018 03:00 - 06.01.2018 04:00","1817","0"
"06.01.2018 04:00 - 06.01.2018 05:00","1818","0"
"06.01.2018 05:00 - 06.01.2018 06:00","1818","0"
"06.01.2018 06:00 - 06.01.2018 07:00","1817","0"
"06.01.2018 07:00 - 06.01.2018 08:00","1811","0"
"06.01.2018 08:00 - 06.01.2018 09:00","2012","0"
"06.01.2018 09:00 - 06.01.2018 10:00","2014","0"
"06.01.2018 10:00 - 06.01.2018 11:00","2015","0"
"06.01.2018 11:00 - 06.01.2018 12:00","2014","0"
"06.01.2018 12:00 - 06.01.2018 13:00","2014","0"
"06.01.2018 13:00 - 06.01.2018 14:00","2015","0"
"06.01.2018 14:00 - 06.01.2018 15:00","2014","0"
"06.01.2018 15:00 - 06.01.2018 16:00","2013","0"
"06.01.2018 16:00 - 06.01.2018 17:00","2013","0"
"06.01.2018 17:00 - 06.01.2018 18:00","2013","0"
"06.01.2018 18:00 - 06.01.2018 19:00","2013","0"
"06.01.2018 19:00 - 06.01.2018 20:00","2014","0"
"06.01.2018 20:00 - 06.01.2018 21:00","2013","0"
"06.01.2018 21:00 - 06.01.2018 22:00","2014","0"
"06.01.2018 22:00 - 06.01.2018 23:00","2013","0"
"06.01.2018 23:00 - 07.01.2018 00:00","2013","0"
"07.01.2018 00:00 - 07.01.2018 01:00","1812","0"
"07.01.2018 01:00 - 07.01.2018 02:00","1818","0"
"07.01.2018 02:00 - 07.01.2018 03:00","1818","0"
"07.01.2018 03:00 - 07.01.2018 04:00","1817","0"
"07.01.2018 04:00 - 07.01.2018 05:00","1817","0"
"07.01.2018 05:00 - 07.01.2018 06:00","1818","0"
"07.01.2018 06:00 - 07.01.2018 07:00","1818","0"
