"Time (CET/CEST)","BZN|IE(SEM) > BZN|GB [MW]","BZN|GB > BZN|IE(SEM) [MW]"
"01.01.2017 00:00 - 01.01.2017 01:00","430","0"
"01.01.2017 01:00 - 01.01.2017 02:00","499","0"
"01.01.2017 02:00 - 01.01.2017 03:00","583","0"
"01.01.2017 03:00 - 01.01.2017 04:00","582","0"
"01.01.2017 04:00 - 01.01.2017 05:00","584","0"
"01.01.2017 05:00 - 01.01.2017 06:00","557","0"
"01.01.2017 06:00 - 01.01.2017 07:00","488","0"
"01.01.2017 07:00 - 01.01.2017 08:00","550","0"
"01.01.2017 08:00 - 01.01.2017 09:00","528","0"
"01.01.2017 09:00 - 01.01.2017 10:00","528","0"
"01.01.2017 10:00 - 01.01.2017 11:00","528","0"
"01.01.2017 11:00 - 01.01.2017 12:00","446","0"
"01.01.2017 12:00 - 01.01.2017 13:00","528","0"
"01.01.2017 13:00 - 01.01.2017 14:00","422","0"
"01.01.2017 14:00 - 01.01.2017 15:00","170","119"
"01.01.2017 15:00 - 01.01.2017 16:00","171","166"
"01.01.2017 16:00 - 01.01.2017 17:00","262","132"
"01.01.2017 17:00 - 01.01.2017 18:00","287","95"
"01.01.2017 18:00 - 01.01.2017 19:00","287","165"
"01.01.2017 19:00 - 01.01.2017 20:00","287","102"
"01.01.2017 20:00 - 01.01.2017 21:00","283","243"
"01.01.2017 21:00 - 01.01.2017 22:00","218","198"
"01.01.2017 22:00 - 01.01.2017 23:00","263","191"
"01.01.2017 23:00 - 02.01.2017 00:00","287","184"
"02.01.2017 00:00 - 02.01.2017 01:00","292","50"
"02.01.2017 01:00 - 02.01.2017 02:00","287","87"
"02.01.2017 02:00 - 02.01.2017 03:00","287","112"
"02.01.2017 03:00 - 02.01.2017 04:00","310","36"
"02.01.2017 04:00 - 02.01.2017 05:00","391","0"
"02.01.2017 05:00 - 02.01.2017 06:00","394","0"
"02.01.2017 06:00 - 02.01.2017 07:00","394","0"
"02.01.2017 07:00 - 02.01.2017 08:00","359","0"
"02.01.2017 08:00 - 02.01.2017 09:00","273","0"
"02.01.2017 09:00 - 02.01.2017 10:00","121","54"
"02.01.2017 10:00 - 02.01.2017 11:00","26","63"
"02.01.2017 11:00 - 02.01.2017 12:00","4","47"
"02.01.2017 12:00 - 02.01.2017 13:00","25","74"
"02.01.2017 13:00 - 02.01.2017 14:00","0","261"
"02.01.2017 14:00 - 02.01.2017 15:00","0","323"
"02.01.2017 15:00 - 02.01.2017 16:00","0","336"
"02.01.2017 16:00 - 02.01.2017 17:00","5","293"
"02.01.2017 17:00 - 02.01.2017 18:00","54","256"
"02.01.2017 18:00 - 02.01.2017 19:00","0","434"
"02.01.2017 19:00 - 02.01.2017 20:00","0","712"
"02.01.2017 20:00 - 02.01.2017 21:00","0","695"
"02.01.2017 21:00 - 02.01.2017 22:00","0","528"
"02.01.2017 22:00 - 02.01.2017 23:00","0","428"
"02.01.2017 23:00 - 03.01.2017 00:00","0","298"
"03.01.2017 00:00 - 03.01.2017 01:00","4","100"
"03.01.2017 01:00 - 03.01.2017 02:00","119","155"
"03.01.2017 02:00 - 03.01.2017 03:00","313","5"
"03.01.2017 03:00 - 03.01.2017 04:00","532","0"
"03.01.2017 04:00 - 03.01.2017 05:00","554","0"
"03.01.2017 05:00 - 03.01.2017 06:00","554","0"
"03.01.2017 06:00 - 03.01.2017 07:00","554","0"
"03.01.2017 07:00 - 03.01.2017 08:00","553","0"
"03.01.2017 08:00 - 03.01.2017 09:00","541","0"
"03.01.2017 09:00 - 03.01.2017 10:00","545","0"
"03.01.2017 10:00 - 03.01.2017 11:00","455","0"
"03.01.2017 11:00 - 03.01.2017 12:00","168","34"
"03.01.2017 12:00 - 03.01.2017 13:00","52","165"
"03.01.2017 13:00 - 03.01.2017 14:00","0","280"
"03.01.2017 14:00 - 03.01.2017 15:00","27","237"
"03.01.2017 15:00 - 03.01.2017 16:00","64","140"
"03.01.2017 16:00 - 03.01.2017 17:00","0","34"
"03.01.2017 17:00 - 03.01.2017 18:00","0","68"
"03.01.2017 18:00 - 03.01.2017 19:00","0","462"
"03.01.2017 19:00 - 03.01.2017 20:00","0","666"
"03.01.2017 20:00 - 03.01.2017 21:00","0","606"
"03.01.2017 21:00 - 03.01.2017 22:00","1","446"
"03.01.2017 22:00 - 03.01.2017 23:00","2","471"
"03.01.2017 23:00 - 04.01.2017 00:00","0","432"
"04.01.2017 00:00 - 04.01.2017 01:00","112","107"
"04.01.2017 01:00 - 04.01.2017 02:00","291","39"
"04.01.2017 02:00 - 04.01.2017 03:00","384","0"
"04.01.2017 03:00 - 04.01.2017 04:00","415","0"
"04.01.2017 04:00 - 04.01.2017 05:00","283","0"
"04.01.2017 05:00 - 04.01.2017 06:00","301","0"
"04.01.2017 06:00 - 04.01.2017 07:00","382","0"
"04.01.2017 07:00 - 04.01.2017 08:00","480","0"
"04.01.2017 08:00 - 04.01.2017 09:00","461","0"
"04.01.2017 09:00 - 04.01.2017 10:00","354","0"
"04.01.2017 10:00 - 04.01.2017 11:00","127","0"
"04.01.2017 11:00 - 04.01.2017 12:00","10","69"
"04.01.2017 12:00 - 04.01.2017 13:00","0","222"
"04.01.2017 13:00 - 04.01.2017 14:00","0","519"
"04.01.2017 14:00 - 04.01.2017 15:00","0","565"
"04.01.2017 15:00 - 04.01.2017 16:00","0","561"
"04.01.2017 16:00 - 04.01.2017 17:00","0","360"
"04.01.2017 17:00 - 04.01.2017 18:00","0","355"
"04.01.2017 18:00 - 04.01.2017 19:00","0","668"
"04.01.2017 19:00 - 04.01.2017 20:00","0","835"
"04.01.2017 20:00 - 04.01.2017 21:00","0","581"
"04.01.2017 21:00 - 04.01.2017 22:00","73","454"
"04.01.2017 22:00 - 04.01.2017 23:00","0","430"
"04.01.2017 23:00 - 05.01.2017 00:00","0","254"
"05.01.2017 00:00 - 05.01.2017 01:00","0","116"
"05.01.2017 01:00 - 05.01.2017 02:00","141","20"
"05.01.2017 02:00 - 05.01.2017 03:00","383","0"
"05.01.2017 03:00 - 05.01.2017 04:00","550","0"
"05.01.2017 04:00 - 05.01.2017 05:00","532","0"
"05.01.2017 05:00 - 05.01.2017 06:00","567","0"
"05.01.2017 06:00 - 05.01.2017 07:00","584","0"
"05.01.2017 07:00 - 05.01.2017 08:00","583","0"
"05.01.2017 08:00 - 05.01.2017 09:00","584","0"
"05.01.2017 09:00 - 05.01.2017 10:00","554","0"
"05.01.2017 10:00 - 05.01.2017 11:00","447","0"
"05.01.2017 11:00 - 05.01.2017 12:00","433","0"
"05.01.2017 12:00 - 05.01.2017 13:00","150","0"
"05.01.2017 13:00 - 05.01.2017 14:00","137","0"
"05.01.2017 14:00 - 05.01.2017 15:00","141","0"
"05.01.2017 15:00 - 05.01.2017 16:00","250","0"
"05.01.2017 16:00 - 05.01.2017 17:00","362","0"
"05.01.2017 17:00 - 05.01.2017 18:00","347","0"
"05.01.2017 18:00 - 05.01.2017 19:00","105","66"
"05.01.2017 19:00 - 05.01.2017 20:00","147","163"
"05.01.2017 20:00 - 05.01.2017 21:00","138","257"
"05.01.2017 21:00 - 05.01.2017 22:00","141","279"
"05.01.2017 22:00 - 05.01.2017 23:00","171","235"
"05.01.2017 23:00 - 06.01.2017 00:00","305","44"
"06.01.2017 00:00 - 06.01.2017 01:00","386","0"
"06.01.2017 01:00 - 06.01.2017 02:00","582","0"
"06.01.2017 02:00 - 06.01.2017 03:00","583","0"
"06.01.2017 03:00 - 06.01.2017 04:00","584","0"
"06.01.2017 04:00 - 06.01.2017 05:00","584","0"
"06.01.2017 05:00 - 06.01.2017 06:00","584","0"
"06.01.2017 06:00 - 06.01.2017 07:00","584","0"
"06.01.2017 07:00 - 06.01.2017 08:00","583","0"
"06.01.2017 08:00 - 06.01.2017 09:00","583","0"
"06.01.2017 09:00 - 06.01.2017 10:00","461","0"
"06.01.2017 10:00 - 06.01.2017 11:00","163","0"
"06.01.2017 11:00 - 06.01.2017 12:00","108","25"
"06.01.2017 12:00 - 06.01.2017 13:00","0","98"
"06.01.2017 13:00 - 06.01.2017 14:00","0","302"
"06.01.2017 14:00 - 06.01.2017 15:00","0","416"
"06.01.2017 15:00 - 06.01.2017 16:00","0","401"
"06.01.2017 16:00 - 06.01.2017 17:00","27","268"
"06.01.2017 17:00 - 06.01.2017 18:00","20","165"
"06.01.2017 18:00 - 06.01.2017 19:00","0","423"
"06.01.2017 19:00 - 06.01.2017 20:00","0","727"
"06.01.2017 20:00 - 06.01.2017 21:00","0","625"
"06.01.2017 21:00 - 06.01.2017 22:00","0","515"
"06.01.2017 22:00 - 06.01.2017 23:00","0","430"
"06.01.2017 23:00 - 07.01.2017 00:00","2","210"
"07.01.2017 00:00 - 07.01.2017 01:00","16","95"
"07.01.2017 01:00 - 07.01.2017 02:00","105","0"
"07.01.2017 02:00 - 07.01.2017 03:00","230","0"
"07.01.2017 03:00 - 07.01.2017 04:00","166","0"
"07.01.2017 04:00 - 07.01.2017 05:00","354","0"
"07.01.2017 05:00 - 07.01.2017 06:00","491","0"
"07.01.2017 06:00 - 07.01.2017 07:00","459","0"
"07.01.2017 07:00 - 07.01.2017 08:00","566","0"
"07.01.2017 08:00 - 07.01.2017 09:00","552","0"
"07.01.2017 09:00 - 07.01.2017 10:00","383","0"
"07.01.2017 10:00 - 07.01.2017 11:00","350","0"
"07.01.2017 11:00 - 07.01.2017 12:00","186","0"
"07.01.2017 12:00 - 07.01.2017 13:00","9","39"
"07.01.2017 13:00 - 07.01.2017 14:00","0","100"
"07.01.2017 14:00 - 07.01.2017 15:00","11","50"
"07.01.2017 15:00 - 07.01.2017 16:00","19","59"
"07.01.2017 16:00 - 07.01.2017 17:00","77","11"
"07.01.2017 17:00 - 07.01.2017 18:00","87","102"
"07.01.2017 18:00 - 07.01.2017 19:00","0","499"
"07.01.2017 19:00 - 07.01.2017 20:00","0","573"
"07.01.2017 20:00 - 07.01.2017 21:00","0","644"
"07.01.2017 21:00 - 07.01.2017 22:00","0","576"
