"Time (CET/CEST)","BZN|NO2 > BZN|GB [MW]","BZN|GB > BZN|NO2 [MW]"
"01.01.2022 00:00 - 01.01.2022 01:00","259","0"
"01.01.2022 01:00 - 01.01.2022 02:00","188","0"
"01.01.2022 02:00 - 01.01.2022 03:00","0","247"
"01.01.2022 03:00 - 01.01.2022 04:00","0","676"
"01.01.2022 04:00 - 01.01.2022 05:00","0","676"
"01.01.2022 05:00 - 01.01.2022 06:00","0","675"
"01.01.2022 06:00 - 01.01.2022 07:00","0","675"
"01.01.2022 07:00 - 01.01.2022 08:00","0","676"
"01.01.2022 08:00 - 01.01.2022 09:00","0","693"
"01.01.2022 09:00 - 01.01.2022 10:00","0","694"
"01.01.2022 10:00 - 01.01.2022 11:00","0","694"
"01.01.2022 11:00 - 01.01.2022 12:00","0","694"
"01.01.2022 12:00 - 01.01.2022 13:00","0","690"
"01.01.2022 13:00 - 01.01.2022 14:00","0","592"
"01.01.2022 14:00 - 01.01.2022 15:00","0","175"
"01.01.2022 15:00 - 01.01.2022 16:00","0","68"
"01.01.2022 16:00 - 01.01.2022 17:00","211","0"
"01.01.2022 17:00 - 01.01.2022 18:00","636","0"
"01.01.2022 18:00 - 01.01.2022 19:00","692","0"
"01.01.2022 19:00 - 01.01.2022 20:00","694","0"
"01.01.2022 20:00 - 01.01.2022 21:00","679","0"
"01.01.2022 21:00 - 01.01.2022 22:00","401","0"
"01.01.2022 22:00 - 01.01.2022 23:00","0","43"
"01.01.2022 23:00 - 02.01.2022 00:00","0","481"
"02.01.2022 00:00 - 02.01.2022 01:00","0","686"
"02.01.2022 01:00 - 02.01.2022 02:00","0","694"
"02.01.2022 02:00 - 02.01.2022 03:00","0","694"
"02.01.2022 03:00 - 02.01.2022 04:00","0","694"
"02.01.2022 04:00 - 02.01.2022 05:00","0","694"
"02.01.2022 05:00 - 02.01.2022 06:00","0","694"
"02.01.2022 06:00 - 02.01.2022 07:00","0","694"
"02.01.2022 07:00 - 02.01.2022 08:00","0","694"
"02.01.2022 08:00 - 02.01.2022 09:00","0","694"
"02.01.2022 09:00 - 02.01.2022 10:00","0","694"
"02.01.2022 10:00 - 02.01.2022 11:00","0","677"
"02.01.2022 11:00 - 02.01.2022 12:00","0","350"
"02.01.2022 12:00 - 02.01.2022 13:00","0","680"
"02.01.2022 13:00 - 02.01.2022 14:00","0","694"
"02.01.2022 14:00 - 02.01.2022 15:00","0","686"
"02.01.2022 15:00 - 02.01.2022 16:00","0","524"
"02.01.2022 16:00 - 02.01.2022 17:00","0","347"
"02.01.2022 17:00 - 02.01.2022 18:00","93","0"
"02.01.2022 18:00 - 02.01.2022 19:00","503","0"
"02.01.2022 19:00 - 02.01.2022 20:00","111","0"
"02.01.2022 20:00 - 02.01.2022 21:00","0","334"
"02.01.2022 21:00 - 02.01.2022 22:00","0","674"
"02.01.2022 22:00 - 02.01.2022 23:00","0","573"
"02.01.2022 23:00 - 03.01.2022 00:00","0","689"
"03.01.2022 00:00 - 03.01.2022 01:00","0","694"
"03.01.2022 01:00 - 03.01.2022 02:00","0","694"
"03.01.2022 02:00 - 03.01.2022 03:00","0","694"
"03.01.2022 03:00 - 03.01.2022 04:00","0","694"
"03.01.2022 04:00 - 03.01.2022 05:00","0","694"
"03.01.2022 05:00 - 03.01.2022 06:00","0","694"
"03.01.2022 06:00 - 03.01.2022 07:00","0","694"
"03.01.2022 07:00 - 03.01.2022 08:00","0","694"
"03.01.2022 08:00 - 03.01.2022 09:00","0","693"
"03.01.2022 09:00 - 03.01.2022 10:00","0","678"
"03.01.2022 10:00 - 03.01.2022 11:00","0","693"
"03.01.2022 11:00 - 03.01.2022 12:00","0","694"
"03.01.2022 12:00 - 03.01.2022 13:00","0","690"
"03.01.2022 13:00 - 03.01.2022 14:00","0","609"
"03.01.2022 14:00 - 03.01.2022 15:00","0","477"
"03.01.2022 15:00 - 03.01.2022 16:00","0","609"
"03.01.2022 16:00 - 03.01.2022 17:00","0","189"
"03.01.2022 17:00 - 03.01.2022 18:00","248","0"
"03.01.2022 18:00 - 03.01.2022 19:00","672","0"
"03.01.2022 19:00 - 03.01.2022 20:00","603","0"
"03.01.2022 20:00 - 03.01.2022 21:00","623","0"
"03.01.2022 21:00 - 03.01.2022 22:00","351","0"
"03.01.2022 22:00 - 03.01.2022 23:00","212","0"
"03.01.2022 23:00 - 04.01.2022 00:00","0","185"
"04.01.2022 00:00 - 04.01.2022 01:00","231","0"
"04.01.2022 01:00 - 04.01.2022 02:00","661","0"
"04.01.2022 02:00 - 04.01.2022 03:00","673","0"
"04.01.2022 03:00 - 04.01.2022 04:00","241","0"
"04.01.2022 04:00 - 04.01.2022 05:00","0","180"
"04.01.2022 05:00 - 04.01.2022 06:00","12","0"
"04.01.2022 06:00 - 04.01.2022 07:00","444","0"
"04.01.2022 07:00 - 04.01.2022 08:00","685","0"
"04.01.2022 08:00 - 04.01.2022 09:00","694","0"
"04.01.2022 09:00 - 04.01.2022 10:00","694","0"
"04.01.2022 10:00 - 04.01.2022 11:00","694","0"
"04.01.2022 11:00 - 04.01.2022 12:00","692","0"
"04.01.2022 12:00 - 04.01.2022 13:00","644","0"
"04.01.2022 13:00 - 04.01.2022 14:00","559","0"
"04.01.2022 14:00 - 04.01.2022 15:00","467","0"
"04.01.2022 15:00 - 04.01.2022 16:00","364","0"
"04.01.2022 16:00 - 04.01.2022 17:00","320","0"
"04.01.2022 17:00 - 04.01.2022 18:00","679","0"
"04.01.2022 18:00 - 04.01.2022 19:00","694","0"
"04.01.2022 19:00 - 04.01.2022 20:00","694","0"
"04.01.2022 20:00 - 04.01.2022 21:00","674","0"
"04.01.2022 21:00 - 04.01.2022 22:00","264","0"
"04.01.2022 22:00 - 04.01.2022 23:00","276","0"
"04.01.2022 23:00 - 05.01.2022 00:00","0","114"
"05.01.2022 00:00 - 05.01.2022 01:00","282","0"
"05.01.2022 01:00 - 05.01.2022 02:00","311","0"
"05.01.2022 02:00 - 05.01.2022 03:00","0","120"
"05.01.2022 03:00 - 05.01.2022 04:00","0","547"
"05.01.2022 04:00 - 05.01.2022 05:00","0","479"
"05.01.2022 05:00 - 05.01.2022 06:00","0","44"
"05.01.2022 06:00 - 05.01.2022 07:00","399","0"
"05.01.2022 07:00 - 05.01.2022 08:00","683","0"
"05.01.2022 08:00 - 05.01.2022 09:00","694","0"
"05.01.2022 09:00 - 05.01.2022 10:00","694","0"
"05.01.2022 10:00 - 05.01.2022 11:00","694","0"
"05.01.2022 11:00 - 05.01.2022 12:00","694","0"
"05.01.2022 12:00 - 05.01.2022 13:00","694","0"
"05.01.2022 13:00 - 05.01.2022 14:00","694","0"
"05.01.2022 14:00 - 05.01.2022 15:00","694","0"
"05.01.2022 15:00 - 05.01.2022 16:00","694","0"
"05.01.2022 16:00 - 05.01.2022 17:00","694","0"
"05.01.2022 17:00 - 05.01.2022 18:00","694","0"
"05.01.2022 18:00 - 05.01.2022 19:00","694","0"
"05.01.2022 19:00 - 05.01.2022 20:00","694","0"
"05.01.2022 20:00 - 05.01.2022 21:00","694","0"
"05.01.2022 21:00 - 05.01.2022 22:00","694","0"
"05.01.2022 22:00 - 05.01.2022 23:00","694","0"
"05.01.2022 23:00 - 06.01.2022 00:00","694","0"
"06.01.2022 00:00 - 06.01.2022 01:00","694","0"
"06.01.2022 01:00 - 06.01.2022 02:00","694","0"
"06.01.2022 02:00 - 06.01.2022 03:00","694","0"
"06.01.2022 03:00 - 06.01.2022 04:00","694","0"
"06.01.2022 04:00 - 06.01.2022 05:00","694","0"
"06.01.2022 05:00 - 06.01.2022 06:00","694","0"
"06.01.2022 06:00 - 06.01.2022 07:00","694","0"
"06.01.2022 07:00 - 06.01.2022 08:00","694","0"
"06.01.2022 08:00 - 06.01.2022 09:00","694","0"
"06.01.2022 09:00 - 06.01.2022 10:00","694","0"
"06.01.2022 10:00 - 06.01.2022 11:00","694","0"
"06.01.2022 11:00 - 06.01.2022 12:00","694","0"
"06.01.2022 12:00 - 06.01.2022 13:00","694","0"
"06.01.2022 13:00 - 06.01.2022 14:00","689","0"
"06.01.2022 14:00 - 06.01.2022 15:00","587","0"
"06.01.2022 15:00 - 06.01.2022 16:00","481","0"
"06.01.2022 16:00 - 06.01.2022 17:00","464","0"
"06.01.2022 17:00 - 06.01.2022 18:00","685","0"
"06.01.2022 18:00 - 06.01.2022 19:00","694","0"
"06.01.2022 19:00 - 06.01.2022 20:00","694","0"
"06.01.2022 20:00 - 06.01.2022 21:00","694","0"
"06.01.2022 21:00 - 06.01.2022 22:00","694","0"
"06.01.2022 22:00 - 06.01.2022 23:00","694","0"
"06.01.2022 23:00 - 07.01.2022 00:00","694","0"
"07.01.2022 00:00 - 07.01.2022 01:00","694","0"
"07.01.2022 01:00 - 07.01.2022 02:00","694","0"
"07.01.2022 02:00 - 07.01.2022 03:00","694","0"
"07.01.2022 03:00 - 07.01.2022 04:00","694","0"
"07.01.2022 04:00 - 07.01.2022 05:00","694","0"
"07.01.2022 05:00 - 07.01.2022 06:00","694","0"
"07.01.2022 06:00 - 07.01.2022 07:00","694","0"
"07.01.2022 07:00 - 07.01.2022 08:00","694","0"
"07.01.2022 08:00 - 07.01.2022 09:00","694","0"
"07.01.2022 09:00 - 07.01.2022 10:00","694","0"
"07.01.2022 10:00 - 07.01.2022 11:00","694","0"
"07.01.2022 11:00 - 07.01.2022 12:00","694","0"
"07.01.2022 12:00 - 07.01.2022 13:00","694","0"
"07.01.2022 13:00 - 07.01.2022 14:00","694","0"
"07.01.2022 14:00 - 07.01.2022 15:00","694","0"
"07.01.2022 15:00 - 07.01.2022 16:00","694","0"
"07.01.2022 16:00 - 07.01.2022 17:00","694","0"
"07.01.2022 17:00 - 07.01.2022 18:00","694","0"
"07.01.2022 18:00 - 07.01.2022 19:00","694","0"
"07.01.2022 19:00 - 07.01.2022 20:00","694","0"
"07.01.2022 20:00 - 07.01.2022 21:00","694","0"
"07.01.2022 21:00 - 07.01.2022 22:00","694","0"
"07.01.2022 22:00 - 07.01.2022 23:00","694","0"
"07.01.2022 23:00 - 08.01.2022 00:00","694","0"
"08.01.2022 00:00 - 08.01.2022 01:00","694","0"
"08.01.2022 01:00 - 08.01.2022 02:00","694","0"
"08.01.2022 02:00 - 08.01.2022 03:00","694","0"
"08.01.2022 03:00 - 08.01.2022 04:00","694","0"
"08.01.2022 04:00 - 08.01.2022 05:00","694","0"
"08.01.2022 05:00 - 08.01.2022 06:00","694","0"
"08.01.2022 06:00 - 08.01.2022 07:00","694","0"
"08.01.2022 07:00 - 08.01.2022 08:00","694","0"
"08.01.2022 08:00 - 08.01.2022 09:00","694","0"
"08.01.2022 09:00 - 08.01.2022 10:00","694","0"
"08.01.2022 10:00 - 08.01.2022 11:00","694","0"
"08.01.2022 11:00 - 08.01.2022 12:00","694","0"
"08.01.2022 12:00 - 08.01.2022 13:00","694","0"
"08.01.2022 13:00 - 08.01.2022 14:00","694","0"
"08.01.2022 14:00 - 08.01.2022 15:00","694","0"
"08.01.2022 15:00 - 08.01.2022 16:00","694","0"
"08.01.2022 16:00 - 08.01.2022 17:00","694","0"
"08.01.2022 17:00 - 08.01.2022 18:00","694","0"
"08.01.2022 18:00 - 08.01.2022 19:00","694","0"
"08.01.2022 19:00 - 08.01.2022 20:00","694","0"
"08.01.2022 20:00 - 08.01.2022 21:00","694","0"
