Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
"31/12/2022 15:00:09","31/12/2022","Storage, Long Range, Stock Levels","4688.8197","31/12/2022 15:56:00",""
"31/12/2022 15:00:09","31/12/2022","Storage, Medium Range, Stock Levels","16083.9370","31/12/2022 15:56:00",""
"31/12/2022 15:00:09","31/12/2022","Storage, Short Range, Stock Levels","0.0000","31/12/2022 15:56:00",""
"30/12/2022 15:00:07","30/12/2022","Storage, Long Range, Stock Levels","4696.4130","30/12/2022 15:56:00",""
"30/12/2022 15:00:07","30/12/2022","Storage, Medium Range, Stock Levels","16018.7177","30/12/2022 15:56:00",""
"30/12/2022 15:00:07","30/12/2022","Storage, Short Range, Stock Levels","0.0000","30/12/2022 15:56:00",""
"29/12/2022 15:00:11","29/12/2022","Storage, Long Range, Stock Levels","4704.0063","29/12/2022 15:56:00",""
"29/12/2022 15:00:11","29/12/2022","Storage, Medium Range, Stock Levels","15915.9105","29/12/2022 15:56:00",""
"29/12/2022 15:00:11","29/12/2022","Storage, Short Range, Stock Levels","0.0000","29/12/2022 15:56:00",""
"28/12/2022 15:00:16","28/12/2022","Storage, Long Range, Stock Levels","4726.7863","28/12/2022 15:56:00",""
"28/12/2022 15:00:16","28/12/2022","Storage, Medium Range, Stock Levels","15353.8442","28/12/2022 15:56:00",""
"28/12/2022 15:00:16","28/12/2022","Storage, Short Range, Stock Levels","0.0000","28/12/2022 15:56:00",""
"27/12/2022 15:00:14","27/12/2022","Storage, Long Range, Stock Levels","4719.1930","27/12/2022 15:56:00",""
"27/12/2022 15:00:14","27/12/2022","Storage, Medium Range, Stock Levels","15108.3364","27/12/2022 15:56:00",""
"27/12/2022 15:00:14","27/12/2022","Storage, Short Range, Stock Levels","0.0000","27/12/2022 15:56:00",""
"26/12/2022 15:00:05","26/12/2022","Storage, Long Range, Stock Levels","4726.7863","26/12/2022 15:56:00",""
"26/12/2022 15:00:05","26/12/2022","Storage, Medium Range, Stock Levels","14719.1022","26/12/2022 15:56:00",""
"26/12/2022 15:00:05","26/12/2022","Storage, Short Range, Stock Levels","0.0000","26/12/2022 15:56:00",""
"25/12/2022 15:00:15","25/12/2022","Storage, Long Range, Stock Levels","4734.3797","25/12/2022 15:56:00",""
"25/12/2022 15:00:15","25/12/2022","Storage, Medium Range, Stock Levels","14077.3536","25/12/2022 15:56:00",""
"25/12/2022 15:00:15","25/12/2022","Storage, Short Range, Stock Levels","0.0000","25/12/2022 15:56:00",""
"24/12/2022 15:00:05","24/12/2022","Storage, Long Range, Stock Levels","4741.9730","24/12/2022 15:56:00",""
"24/12/2022 15:00:05","24/12/2022","Storage, Medium Range, Stock Levels","13551.4277","24/12/2022 15:56:00",""
"24/12/2022 15:00:05","24/12/2022","Storage, Short Range, Stock Levels","0.0000","24/12/2022 15:56:00",""
"23/12/2022 15:00:03","23/12/2022","Storage, Long Range, Stock Levels","4749.5663","23/12/2022 15:56:00",""
"23/12/2022 15:00:03","23/12/2022","Storage, Medium Range, Stock Levels","13424.0478","23/12/2022 15:56:00",""
"23/12/2022 15:00:03","23/12/2022","Storage, Short Range, Stock Levels","0.0000","23/12/2022 15:56:00",""
"22/12/2022 15:00:08","22/12/2022","Storage, Long Range, Stock Levels","4757.1597","22/12/2022 15:56:00",""
"22/12/2022 15:00:08","22/12/2022","Storage, Medium Range, Stock Levels","13291.9738","22/12/2022 15:56:00",""
"22/12/2022 15:00:08","22/12/2022","Storage, Short Range, Stock Levels","0.0000","22/12/2022 15:56:00",""
"21/12/2022 15:00:09","21/12/2022","Storage, Long Range, Stock Levels","4688.5030","21/12/2022 15:56:00",""
"21/12/2022 15:00:09","21/12/2022","Storage, Medium Range, Stock Levels","13090.3669","21/12/2022 15:56:00",""
"21/12/2022 15:00:09","21/12/2022","Storage, Short Range, Stock Levels","0.0000","21/12/2022 15:56:00",""
"20/12/2022 15:00:03","20/12/2022","Storage, Long Range, Stock Levels","4751.5030","20/12/2022 15:56:00",""
"20/12/2022 15:00:03","20/12/2022","Storage, Medium Range, Stock Levels","12624.3020","20/12/2022 15:56:00",""
"20/12/2022 15:00:03","20/12/2022","Storage, Short Range, Stock Levels","0.0000","20/12/2022 15:56:00",""
"19/12/2022 15:00:16","19/12/2022","Storage, Long Range, Stock Levels","4751.5030","19/12/2022 15:56:00",""
"19/12/2022 15:00:16","19/12/2022","Storage, Medium Range, Stock Levels","12149.7585","19/12/2022 15:56:00",""
"19/12/2022 15:00:16","19/12/2022","Storage, Short Range, Stock Levels","0.0000","19/12/2022 15:56:00",""
"18/12/2022 15:00:03","18/12/2022","Storage, Long Range, Stock Levels","4751.5030","18/12/2022 15:56:00",""
"18/12/2022 15:00:03","18/12/2022","Storage, Medium Range, Stock Levels","12113.2732","18/12/2022 15:56:00",""
"18/12/2022 15:00:03","18/12/2022","Storage, Short Range, Stock Levels","0.0000","18/12/2022 15:56:00",""
"17/12/2022 15:00:08","17/12/2022","Storage, Long Range, Stock Levels","4751.5030","17/12/2022 15:56:00",""
"17/12/2022 15:00:08","17/12/2022","Storage, Medium Range, Stock Levels","12471.4859","17/12/2022 15:56:00",""
"17/12/2022 15:00:08","17/12/2022","Storage, Short Range, Stock Levels","0.0000","17/12/2022 15:56:00",""
"17/12/2022 15:00:08","16/12/2022","Storage, Long Range, Stock Levels","4751.5030","17/12/2022 15:56:00",""
"17/12/2022 15:00:08","16/12/2022","Storage, Medium Range, Stock Levels","13125.6283","17/12/2022 15:56:00",""
"16/12/2022 15:00:15","16/12/2022","Storage, Long Range, Stock Levels","4751.4036","16/12/2022 15:56:00",""
"16/12/2022 15:00:15","16/12/2022","Storage, Medium Range, Stock Levels","13125.9457","16/12/2022 15:56:00",""
"16/12/2022 15:00:15","16/12/2022","Storage, Short Range, Stock Levels","0.0000","16/12/2022 15:56:00",""
"16/12/2022 15:00:15","15/12/2022","Storage, Medium Range, Stock Levels","13842.9975","16/12/2022 15:56:00",""
"15/12/2022 15:00:03","15/12/2022","Storage, Long Range, Stock Levels","4780.3694","15/12/2022 15:56:00",""
"15/12/2022 15:00:03","15/12/2022","Storage, Medium Range, Stock Levels","13843.9490","15/12/2022 15:56:00",""
"15/12/2022 15:00:03","15/12/2022","Storage, Short Range, Stock Levels","0.0000","15/12/2022 15:56:00",""
"14/12/2022 15:00:06","14/12/2022","Storage, Long Range, Stock Levels","4782.4753","14/12/2022 15:56:00",""
"14/12/2022 15:00:06","14/12/2022","Storage, Medium Range, Stock Levels","14492.7200","14/12/2022 15:56:00",""
"14/12/2022 15:00:06","14/12/2022","Storage, Short Range, Stock Levels","0.0000","14/12/2022 15:56:00",""
"14/12/2022 15:00:06","06/12/2022","Storage, Long Range, Stock Levels","4953.3434","14/12/2022 15:56:00",""
"13/12/2022 15:00:06","13/12/2022","Storage, Long Range, Stock Levels","4743.8284","13/12/2022 15:56:00",""
"13/12/2022 15:00:06","13/12/2022","Storage, Medium Range, Stock Levels","15169.3468","13/12/2022 15:56:00",""
"13/12/2022 15:00:06","13/12/2022","Storage, Short Range, Stock Levels","0.0000","13/12/2022 15:56:00",""
"12/12/2022 15:00:06","12/12/2022","Storage, Long Range, Stock Levels","4831.8284","12/12/2022 15:56:00",""
"12/12/2022 15:00:06","12/12/2022","Storage, Medium Range, Stock Levels","15889.5701","12/12/2022 15:56:00",""
"12/12/2022 15:00:06","12/12/2022","Storage, Short Range, Stock Levels","0.0000","12/12/2022 15:56:00",""
"12/12/2022 15:00:00","30/11/2022","Storage Injection, Actual","35867504.0000","12/12/2022 15:00:08",""
"12/12/2022 15:00:00","30/11/2022","Storage Withdrawal, Actual","-320665049.0000","12/12/2022 15:00:08",""
"12/12/2022 15:00:00","29/11/2022","Storage Injection, Actual","18887942.0000","12/12/2022 15:00:08",""
"12/12/2022 15:00:00","29/11/2022","Storage Withdrawal, Actual","-347623007.0000","12/12/2022 15:00:08",""
"12/12/2022 15:00:00","28/11/2022","Storage Injection, Actual","116691091.0000","12/12/2022 15:00:08",""
"12/12/2022 15:00:00","28/11/2022","Storage Withdrawal, Actual","-144959559.0000","12/12/2022 15:00:08",""
"12/12/2022 15:00:00","27/11/2022","Storage Injection, Actual","303310396.0000","12/12/2022 15:00:08",""
"12/12/2022 15:00:00","27/11/2022","Storage Withdrawal, Actual","-30419881.0000","12/12/2022 15:00:08",""
"12/12/2022 15:00:00","26/11/2022","Storage Injection, Actual","381798524.0000","12/12/2022 15:00:08",""
"12/12/2022 15:00:00","26/11/2022","Storage Withdrawal, Actual","-7425844.0000","12/12/2022 15:00:08",""
"12/12/2022 15:00:00","25/11/2022","Storage Injection, Actual","162020074.0000","12/12/2022 15:00:08",""
"12/12/2022 15:00:00","25/11/2022","Storage Withdrawal, Actual","-48953886.0000","12/12/2022 15:00:08",""
"12/12/2022 15:00:00","24/11/2022","Storage Injection, Actual","94443085.0000","12/12/2022 15:00:08",""
"12/12/2022 15:00:00","24/11/2022","Storage Withdrawal, Actual","-138684431.0000","12/12/2022 15:00:08",""
"12/12/2022 15:00:00","23/11/2022","Storage Injection, Actual","195950970.0000","12/12/2022 15:00:08",""
"12/12/2022 15:00:00","23/11/2022","Storage Withdrawal, Actual","-50529954.0000","12/12/2022 15:00:08",""
"12/12/2022 15:00:00","22/11/2022","Storage Injection, Actual","82952400.0000","12/12/2022 15:00:08",""
"12/12/2022 15:00:00","22/11/2022","Storage Withdrawal, Actual","-485592098.0000","12/12/2022 15:00:08",""
"12/12/2022 15:00:00","21/11/2022","Storage Injection, Actual","87377090.0000","12/12/2022 15:00:08",""
"12/12/2022 15:00:00","21/11/2022","Storage Withdrawal, Actual","-193893220.0000","12/12/2022 15:00:08",""
"12/12/2022 15:00:00","20/11/2022","Storage Injection, Actual","154246720.0000","12/12/2022 15:00:08",""
"12/12/2022 15:00:00","20/11/2022","Storage Withdrawal, Actual","-29900679.0000","12/12/2022 15:00:08",""
"12/12/2022 15:00:00","19/11/2022","Storage Injection, Actual","247498313.0000","12/12/2022 15:00:08",""
"12/12/2022 15:00:00","19/11/2022","Storage Withdrawal, Actual","-6992635.0000","12/12/2022 15:00:08",""
"12/12/2022 15:00:00","18/11/2022","Storage Injection, Actual","121012839.0000","12/12/2022 15:00:08",""
"12/12/2022 15:00:00","18/11/2022","Storage Withdrawal, Actual","-129658499.0000","12/12/2022 15:00:08",""
"12/12/2022 15:00:00","17/11/2022","Storage Injection, Actual","331113933.0000","12/12/2022 15:00:08",""
"12/12/2022 15:00:00","17/11/2022","Storage Withdrawal, Actual","-947978.0000","12/12/2022 15:00:08",""
"12/12/2022 15:00:00","16/11/2022","Storage Injection, Actual","252179989.0000","12/12/2022 15:00:08",""
"12/12/2022 15:00:00","16/11/2022","Storage Withdrawal, Actual","-6510331.0000","12/12/2022 15:00:08",""
"12/12/2022 15:00:00","15/11/2022","Storage Injection, Actual","237264794.0000","12/12/2022 15:00:08",""
"12/12/2022 15:00:00","15/11/2022","Storage Withdrawal, Actual","-4945618.0000","12/12/2022 15:00:08",""
"12/12/2022 15:00:00","14/11/2022","Storage Injection, Actual","89611253.0000","12/12/2022 15:00:08",""
"12/12/2022 15:00:00","14/11/2022","Storage Withdrawal, Actual","-133025240.0000","12/12/2022 15:00:08",""
"12/12/2022 15:00:00","13/11/2022","Storage Injection, Actual","197299933.0000","12/12/2022 15:00:08",""
"12/12/2022 15:00:00","13/11/2022","Storage Withdrawal, Actual","-70528915.0000","12/12/2022 15:00:08",""
