Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
"31/12/2022 15:30:00","31/12/2022","LNG, Daily Aggregated Stock level, D+1","7102614186.0000","31/12/2022 15:30:00","L"
"31/12/2022 15:00:09","31/12/2022","Storage, Long Range, Stock Levels","4688.8197","31/12/2022 15:56:00",""
"31/12/2022 15:00:09","31/12/2022","Storage, Medium Range, Stock Levels","16083.9370","31/12/2022 15:56:00",""
"31/12/2022 15:00:09","31/12/2022","Storage, Short Range, Stock Levels","0.0000","31/12/2022 15:56:00",""
"30/12/2022 15:30:00","30/12/2022","LNG, Daily Aggregated Stock level, D+1","7443420458.0000","30/12/2022 15:30:01","L"
"30/12/2022 15:00:07","30/12/2022","Storage, Long Range, Stock Levels","4696.4130","30/12/2022 15:56:00",""
"30/12/2022 15:00:07","30/12/2022","Storage, Medium Range, Stock Levels","16018.7177","30/12/2022 15:56:00",""
"30/12/2022 15:00:07","30/12/2022","Storage, Short Range, Stock Levels","0.0000","30/12/2022 15:56:00",""
"29/12/2022 15:30:00","29/12/2022","LNG, Daily Aggregated Stock level, D+1","8096033598.0000","29/12/2022 15:30:01","L"
"29/12/2022 15:00:11","29/12/2022","Storage, Long Range, Stock Levels","4704.0063","29/12/2022 15:56:00",""
"29/12/2022 15:00:11","29/12/2022","Storage, Medium Range, Stock Levels","15915.9105","29/12/2022 15:56:00",""
"29/12/2022 15:00:11","29/12/2022","Storage, Short Range, Stock Levels","0.0000","29/12/2022 15:56:00",""
"28/12/2022 15:30:00","28/12/2022","LNG, Daily Aggregated Stock level, D+1","9120386742.0000","28/12/2022 15:30:01","L"
"28/12/2022 15:00:16","28/12/2022","Storage, Long Range, Stock Levels","4726.7863","28/12/2022 15:56:00",""
"28/12/2022 15:00:16","28/12/2022","Storage, Medium Range, Stock Levels","15353.8442","28/12/2022 15:56:00",""
"28/12/2022 15:00:16","28/12/2022","Storage, Short Range, Stock Levels","0.0000","28/12/2022 15:56:00",""
"27/12/2022 15:30:00","27/12/2022","LNG, Daily Aggregated Stock level, D+1","8990383543.0000","27/12/2022 15:30:01","L"
"27/12/2022 15:00:14","27/12/2022","Storage, Long Range, Stock Levels","4719.1930","27/12/2022 15:56:00",""
"27/12/2022 15:00:14","27/12/2022","Storage, Medium Range, Stock Levels","15108.3364","27/12/2022 15:56:00",""
"27/12/2022 15:00:14","27/12/2022","Storage, Short Range, Stock Levels","0.0000","27/12/2022 15:56:00",""
"26/12/2022 15:30:00","26/12/2022","LNG, Daily Aggregated Stock level, D+1","8971261015.0000","26/12/2022 15:30:00","L"
"26/12/2022 15:00:05","26/12/2022","Storage, Long Range, Stock Levels","4726.7863","26/12/2022 15:56:00",""
"26/12/2022 15:00:05","26/12/2022","Storage, Medium Range, Stock Levels","14719.1022","26/12/2022 15:56:00",""
"26/12/2022 15:00:05","26/12/2022","Storage, Short Range, Stock Levels","0.0000","26/12/2022 15:56:00",""
"25/12/2022 15:30:00","25/12/2022","LNG, Daily Aggregated Stock level, D+1","9555826483.0000","25/12/2022 15:30:00","L"
"25/12/2022 15:00:15","25/12/2022","Storage, Long Range, Stock Levels","4734.3797","25/12/2022 15:56:00",""
"25/12/2022 15:00:15","25/12/2022","Storage, Medium Range, Stock Levels","14077.3536","25/12/2022 15:56:00",""
"25/12/2022 15:00:15","25/12/2022","Storage, Short Range, Stock Levels","0.0000","25/12/2022 15:56:00",""
"24/12/2022 15:30:00","24/12/2022","LNG, Daily Aggregated Stock level, D+1","9589622822.0000","24/12/2022 15:31:00","L"
"24/12/2022 15:00:05","24/12/2022","Storage, Long Range, Stock Levels","4741.9730","24/12/2022 15:56:00",""
"24/12/2022 15:00:05","24/12/2022","Storage, Medium Range, Stock Levels","13551.4277","24/12/2022 15:56:00",""
"24/12/2022 15:00:05","24/12/2022","Storage, Short Range, Stock Levels","0.0000","24/12/2022 15:56:00",""
"23/12/2022 15:30:00","23/12/2022","LNG, Daily Aggregated Stock level, D+1","9293079926.0000","23/12/2022 15:30:00","L"
"23/12/2022 15:00:03","23/12/2022","Storage, Long Range, Stock Levels","4749.5663","23/12/2022 15:56:00",""
