HDR,SETTLEMENT DATE,SP,CCGT,OIL,COAL,NUCLEAR,WIND,PS,HYDRO,OCGT,OTHER,IFA,MOYLE,BRITNED,EASTWEST,BIOMASS,NEMOLINK,ELECLINK,IFA 2,NSL
FUELHH,20170101,1,7727,0,3815,7404,3923,0,944,0,2123,948,296,856,238,0,0,0,0,0
FUELHH,20170101,2,8338,0,3815,7403,3658,16,909,0,2124,998,298,874,288,0,0,0,0,0
FUELHH,20170101,3,7927,0,3801,7408,3925,0,864,0,2122,998,298,816,286,0,0,0,0,0
FUELHH,20170101,4,6996,0,3803,7407,4393,0,863,0,2122,998,298,826,288,0,0,0,0,0
FUELHH,20170101,5,6897,0,3705,7316,4418,0,860,0,2121,998,298,854,280,0,0,0,0,0
FUELHH,20170101,6,6580,0,3380,7193,4329,0,846,0,2121,998,298,854,288,0,0,0,0,0
FUELHH,20170101,7,5897,0,3285,7172,4442,0,841,0,2123,998,282,854,288,0,0,0,0,0
FUELHH,20170101,8,5363,0,3137,7175,4692,0,832,0,2122,998,260,854,288,0,0,0,0,0
FUELHH,20170101,9,5584,0,2835,7167,4944,0,828,0,2123,350,164,854,288,0,0,0,0,0
FUELHH,20170101,10,5670,0,2613,7178,4807,0,829,0,2120,316,240,854,288,0,0,0,0,0
FUELHH,20170101,11,5580,0,2708,7181,4827,0,859,0,2122,38,266,854,288,0,0,0,0,0
FUELHH,20170101,12,5263,0,2830,7199,4884,0,859,0,2123,18,262,854,288,0,0,0,0,0
FUELHH,20170101,13,5546,0,2991,7318,4697,0,857,0,2124,0,242,854,288,0,0,0,0,0
FUELHH,20170101,14,5498,0,3116,7404,4556,0,861,0,2124,0,242,854,288,0,0,0,0,0
FUELHH,20170101,15,5601,0,3039,7405,4764,0,953,0,2124,0,242,854,288,0,0,0,0,0
FUELHH,20170101,16,5173,0,2433,7409,5116,36,890,0,2125,0,242,854,288,0,0,0,0,0
FUELHH,20170101,17,5237,0,2495,7414,4881,320,862,0,2123,0,242,902,288,0,0,0,0,0
FUELHH,20170101,18,5555,0,2908,7419,4972,408,861,0,2124,0,242,902,288,0,0,0,0,0
FUELHH,20170101,19,6485,0,2945,7427,4996,408,867,0,2124,20,262,1000,288,0,0,0,0,0
FUELHH,20170101,20,7624,0,2996,7427,5220,332,869,0,2124,0,214,1000,288,0,0,0,0,0
FUELHH,20170101,21,7767,0,2955,7415,5841,336,926,0,2118,990,222,1000,210,0,0,0,0,0
FUELHH,20170101,22,8843,0,2860,7412,6016,372,912,0,2121,998,264,1000,206,0,0,0,0,0
FUELHH,20170101,23,10088,0,2899,7410,5741,416,945,0,2128,998,252,1000,286,0,0,0,0,0
FUELHH,20170101,24,10618,0,3298,7408,5939,334,939,0,2127,998,40,1000,288,0,0,0,0,0
FUELHH,20170101,25,10990,0,3572,7406,6237,350,996,0,2126,998,0,1000,288,0,0,0,0,0
FUELHH,20170101,26,11178,0,3780,7411,6325,340,993,0,2125,998,0,1000,244,0,0,0,0,0
FUELHH,20170101,27,11298,0,3856,7411,6223,398,998,0,2127,950,0,1000,182,0,0,0,0,0
