"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|NO2","01.01.2021 00:00 - 01.01.2021 01:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","502","","388","6339","n/e","n/e","n/e","n/e","n/e","6","n/e","24"
"BZN|NO2","01.01.2021 01:00 - 01.01.2021 02:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","407","","379","5927","n/e","n/e","n/e","n/e","n/e","6","n/e","27"
"BZN|NO2","01.01.2021 02:00 - 01.01.2021 03:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","373","","376","5291","n/e","n/e","n/e","n/e","n/e","6","n/e","30"
"BZN|NO2","01.01.2021 03:00 - 01.01.2021 04:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","310","","376","5137","n/e","n/e","n/e","n/e","n/e","6","n/e","34"
"BZN|NO2","01.01.2021 04:00 - 01.01.2021 05:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","307","","379","5102","n/e","n/e","n/e","n/e","n/e","6","n/e","34"
"BZN|NO2","01.01.2021 05:00 - 01.01.2021 06:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","378","","381","5363","n/e","n/e","n/e","n/e","n/e","6","n/e","33"
"BZN|NO2","01.01.2021 06:00 - 01.01.2021 07:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","440","","383","5942","n/e","n/e","n/e","n/e","n/e","6","n/e","32"
"BZN|NO2","01.01.2021 07:00 - 01.01.2021 08:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","507","","385","6308","n/e","n/e","n/e","n/e","n/e","6","n/e","38"
"BZN|NO2","01.01.2021 08:00 - 01.01.2021 09:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","507","","397","6705","n/e","n/e","n/e","n/e","n/e","6","n/e","52"
"BZN|NO2","01.01.2021 09:00 - 01.01.2021 10:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","573","","395","6875","n/e","n/e","n/e","n/e","n/e","6","n/e","58"
"BZN|NO2","01.01.2021 10:00 - 01.01.2021 11:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","550","","391","7136","n/e","n/e","n/e","n/e","n/e","6","n/e","60"
"BZN|NO2","01.01.2021 11:00 - 01.01.2021 12:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","712","","394","7461","n/e","n/e","n/e","n/e","n/e","6","n/e","67"
"BZN|NO2","01.01.2021 12:00 - 01.01.2021 13:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","769","","395","7485","n/e","n/e","n/e","n/e","n/e","5","n/e","64"
"BZN|NO2","01.01.2021 13:00 - 01.01.2021 14:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","772","","395","7524","n/e","n/e","n/e","n/e","n/e","6","n/e","57"
"BZN|NO2","01.01.2021 14:00 - 01.01.2021 15:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","784","","390","7656","n/e","n/e","n/e","n/e","n/e","5","n/e","60"
"BZN|NO2","01.01.2021 15:00 - 01.01.2021 16:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","851","","388","7647","n/e","n/e","n/e","n/e","n/e","5","n/e","56"
"BZN|NO2","01.01.2021 16:00 - 01.01.2021 17:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","864","","387","7631","n/e","n/e","n/e","n/e","n/e","5","n/e","59"
"BZN|NO2","01.01.2021 17:00 - 01.01.2021 18:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","864","","389","7610","n/e","n/e","n/e","n/e","n/e","5","n/e","47"
"BZN|NO2","01.01.2021 18:00 - 01.01.2021 19:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","855","","388","7590","n/e","n/e","n/e","n/e","n/e","5","n/e","48"
"BZN|NO2","01.01.2021 19:00 - 01.01.2021 20:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","855","","393","7396","n/e","n/e","n/e","n/e","n/e","5","n/e","63"
"BZN|NO2","01.01.2021 20:00 - 01.01.2021 21:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","780","","390","7275","n/e","n/e","n/e","n/e","n/e","5","n/e","90"
"BZN|NO2","01.01.2021 21:00 - 01.01.2021 22:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","695","","390","7345","n/e","n/e","n/e","n/e","n/e","5","n/e","78"
"BZN|NO2","01.01.2021 22:00 - 01.01.2021 23:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","685","","391","7197","n/e","n/e","n/e","n/e","n/e","6","n/e","78"
"BZN|NO2","01.01.2021 23:00 - 02.01.2021 00:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","587","","388","6837","n/e","n/e","n/e","n/e","n/e","6","n/e","59"
"BZN|NO2","02.01.2021 00:00 - 02.01.2021 01:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","450","","379","6383","n/e","n/e","n/e","n/e","n/e","5","n/e","70"
"BZN|NO2","02.01.2021 01:00 - 02.01.2021 02:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","417","","376","5744","n/e","n/e","n/e","n/e","n/e","6","n/e","67"
"BZN|NO2","02.01.2021 02:00 - 02.01.2021 03:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","395","","370","5578","n/e","n/e","n/e","n/e","n/e","6","n/e","57"
"BZN|NO2","02.01.2021 03:00 - 02.01.2021 04:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","417","","370","5409","n/e","n/e","n/e","n/e","n/e","6","n/e","49"
"BZN|NO2","02.01.2021 04:00 - 02.01.2021 05:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","418","","373","5578","n/e","n/e","n/e","n/e","n/e","6","n/e","64"
"BZN|NO2","02.01.2021 05:00 - 02.01.2021 06:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","440","","377","5946","n/e","n/e","n/e","n/e","n/e","6","n/e","86"
"BZN|NO2","02.01.2021 06:00 - 02.01.2021 07:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","504","","381","6109","n/e","n/e","n/e","n/e","n/e","6","n/e","78"
"BZN|NO2","02.01.2021 07:00 - 02.01.2021 08:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","528","","381","6547","n/e","n/e","n/e","n/e","n/e","6","n/e","99"
"BZN|NO2","02.01.2021 08:00 - 02.01.2021 09:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","610","","378","6925","n/e","n/e","n/e","n/e","n/e","6","n/e","115"
"BZN|NO2","02.01.2021 09:00 - 02.01.2021 10:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","612","","380","7165","n/e","n/e","n/e","n/e","n/e","6","n/e","124"
"BZN|NO2","02.01.2021 10:00 - 02.01.2021 11:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","623","","370","7300","n/e","n/e","n/e","n/e","n/e","5","n/e","123"
"BZN|NO2","02.01.2021 11:00 - 02.01.2021 12:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","660","","376","7374","n/e","n/e","n/e","n/e","n/e","5","n/e","125"
"BZN|NO2","02.01.2021 12:00 - 02.01.2021 13:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","660","","373","7463","n/e","n/e","n/e","n/e","n/e","5","n/e","103"
"BZN|NO2","02.01.2021 13:00 - 02.01.2021 14:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","672","","375","7462","n/e","n/e","n/e","n/e","n/e","5","n/e","110"
"BZN|NO2","02.01.2021 14:00 - 02.01.2021 15:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","703","","377","7573","n/e","n/e","n/e","n/e","n/e","5","n/e","137"
"BZN|NO2","02.01.2021 15:00 - 02.01.2021 16:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","752","","374","7648","n/e","n/e","n/e","n/e","n/e","5","n/e","193"
"BZN|NO2","02.01.2021 16:00 - 02.01.2021 17:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","794","","375","7771","n/e","n/e","n/e","n/e","n/e","5","n/e","218"
"BZN|NO2","02.01.2021 17:00 - 02.01.2021 18:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","802","","375","7853","n/e","n/e","n/e","n/e","n/e","5","n/e","252"
"BZN|NO2","02.01.2021 18:00 - 02.01.2021 19:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","844","","371","7673","n/e","n/e","n/e","n/e","n/e","5","n/e","310"
"BZN|NO2","02.01.2021 19:00 - 02.01.2021 20:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","783","","373","7442","n/e","n/e","n/e","n/e","n/e","5","n/e","371"
"BZN|NO2","02.01.2021 20:00 - 02.01.2021 21:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","767","","375","7283","n/e","n/e","n/e","n/e","n/e","5","n/e","421"
"BZN|NO2","02.01.2021 21:00 - 02.01.2021 22:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","763","","375","7273","n/e","n/e","n/e","n/e","n/e","5","n/e","413"
