Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator,
31/12/2022 15:00,31/12/2022,LNG Stock Level,7102.6142,31/12/2022 15:56,,
30/12/2022 15:00,30/12/2022,LNG Stock Level,7443.4205,30/12/2022 15:56,,
29/12/2022 15:00,29/12/2022,LNG Stock Level,8096.0336,29/12/2022 15:56,,
28/12/2022 15:00,28/12/2022,LNG Stock Level,9120.3867,28/12/2022 15:56,,
27/12/2022 15:00,27/12/2022,LNG Stock Level,8990.3835,27/12/2022 15:56,,
26/12/2022 15:00,26/12/2022,LNG Stock Level,8971.261,26/12/2022 15:56,,
25/12/2022 15:00,25/12/2022,LNG Stock Level,9555.8265,25/12/2022 15:56,,
24/12/2022 15:00,24/12/2022,LNG Stock Level,9589.6228,24/12/2022 15:56,,
23/12/2022 15:00,23/12/2022,LNG Stock Level,9293.0799,23/12/2022 15:56,,
22/12/2022 15:00,22/12/2022,LNG Stock Level,8066.9283,22/12/2022 15:56,,
21/12/2022 15:00,21/12/2022,LNG Stock Level,7129.4674,21/12/2022 15:56,,
20/12/2022 15:00,20/12/2022,LNG Stock Level,7407.1608,20/12/2022 15:56,,
19/12/2022 15:00,19/12/2022,LNG Stock Level,8709.6951,19/12/2022 15:56,,
18/12/2022 15:00,18/12/2022,LNG Stock Level,8578.3089,18/12/2022 15:56,,
17/12/2022 15:00,17/12/2022,LNG Stock Level,8760.6593,17/12/2022 15:56,,
16/12/2022 15:00,16/12/2022,LNG Stock Level,8228.5101,16/12/2022 15:56,,
15/12/2022 15:00,15/12/2022,LNG Stock Level,7985.6267,15/12/2022 15:56,,
14/12/2022 15:00,14/12/2022,LNG Stock Level,7850.8474,14/12/2022 15:56,,
13/12/2022 15:00,13/12/2022,LNG Stock Level,8593.2805,13/12/2022 15:56,,
12/12/2022 15:00,12/12/2022,LNG Stock Level,8707.8293,12/12/2022 15:56,,
11/12/2022 15:00,11/12/2022,LNG Stock Level,7826.0718,11/12/2022 15:56,,
10/12/2022 15:00,10/12/2022,LNG Stock Level,8458.7749,10/12/2022 15:56,,
09/12/2022 15:00,09/12/2022,LNG Stock Level,8596.3218,09/12/2022 15:56,,
08/12/2022 15:00,08/12/2022,LNG Stock Level,9097.5805,08/12/2022 15:56,,
07/12/2022 15:00,07/12/2022,LNG Stock Level,8297.3086,07/12/2022 15:56,,
06/12/2022 15:00,06/12/2022,LNG Stock Level,8462.0393,06/12/2022 15:56,,
05/12/2022 15:00,05/12/2022,LNG Stock Level,9015.1109,05/12/2022 15:56,,
04/12/2022 15:00,04/12/2022,LNG Stock Level,9413.029,04/12/2022 15:56,,
03/12/2022 15:00,03/12/2022,LNG Stock Level,8687.5807,03/12/2022 15:56,,
02/12/2022 15:00,02/12/2022,LNG Stock Level,9022.399,02/12/2022 15:56,,
01/12/2022 15:00,01/12/2022,LNG Stock Level,8980.7816,01/12/2022 15:56,,
30/11/2022 15:00,30/11/2022,LNG Stock Level,7402.1802,30/11/2022 15:56,,
29/11/2022 15:00,29/11/2022,LNG Stock Level,8522.595,29/11/2022 15:56,,
28/11/2022 15:00,28/11/2022,LNG Stock Level,9654.4007,28/11/2022 15:56,,
27/11/2022 15:00,27/11/2022,LNG Stock Level,9493.7197,27/11/2022 15:56,,
26/11/2022 15:00,26/11/2022,LNG Stock Level,9150.761,26/11/2022 15:56,,
25/11/2022 15:00,25/11/2022,LNG Stock Level,7750.7579,25/11/2022 15:56,,
24/11/2022 15:00,24/11/2022,LNG Stock Level,8588.298,24/11/2022 15:56,,
23/11/2022 15:00,23/11/2022,LNG Stock Level,8476.487,23/11/2022 15:56,,
22/11/2022 15:00,22/11/2022,LNG Stock Level,9052.5753,22/11/2022 15:56,,
21/11/2022 15:00,21/11/2022,LNG Stock Level,8299.8506,21/11/2022 15:56,,
20/11/2022 15:00,20/11/2022,LNG Stock Level,8194.2967,20/11/2022 15:56,,
19/11/2022 15:00,19/11/2022,LNG Stock Level,7539.9181,19/11/2022 15:56,,
18/11/2022 15:00,18/11/2022,LNG Stock Level,7625.0069,18/11/2022 15:56,,
17/11/2022 15:00,17/11/2022,LNG Stock Level,8108.8843,17/11/2022 15:56,,
16/11/2022 15:00,16/11/2022,LNG Stock Level,8241.6775,16/11/2022 15:56,,
15/11/2022 15:00,15/11/2022,LNG Stock Level,8466.6139,15/11/2022 15:56,,
14/11/2022 15:00,14/11/2022,LNG Stock Level,8100.233,14/11/2022 15:56,,
13/11/2022 15:00,13/11/2022,LNG Stock Level,7805.5383,13/11/2022 15:56,,
