Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
"01/01/2023 11:38:00","31/12/2022","Temperature, Actual, D+1","6.9930","03/01/2023 10:14:00","L"
"31/12/2022 11:38:00","30/12/2022","Temperature, Actual, D+1","6.3546","03/01/2023 10:10:00","L"
"30/12/2022 11:38:00","29/12/2022","Temperature, Actual, D+1","5.3943","03/01/2023 09:55:01","L"
"29/12/2022 11:38:00","28/12/2022","Temperature, Actual, D+1","5.6944","03/01/2023 10:06:01","L"
"28/12/2022 11:38:00","27/12/2022","Temperature, Actual, D+1","4.8140","03/01/2023 10:04:01","L"
"27/12/2022 11:38:00","26/12/2022","Temperature, Actual, D+1","4.7763","27/12/2022 12:30:00",""
"26/12/2022 11:38:00","25/12/2022","Temperature, Actual, D+1","6.4761","26/12/2022 12:30:00",""
"25/12/2022 11:38:00","24/12/2022","Temperature, Actual, D+1","6.3045","25/12/2022 12:30:00",""
"24/12/2022 11:38:00","23/12/2022","Temperature, Actual, D+1","5.9849","24/12/2022 12:30:00",""
"23/12/2022 11:38:00","22/12/2022","Temperature, Actual, D+1","6.0677","23/12/2022 12:30:00",""
"22/12/2022 11:38:00","21/12/2022","Temperature, Actual, D+1","5.8830","22/12/2022 12:30:00",""
"21/12/2022 11:38:00","20/12/2022","Temperature, Actual, D+1","6.0095","21/12/2022 12:30:00",""
"20/12/2022 11:38:00","19/12/2022","Temperature, Actual, D+1","5.6684","20/12/2022 12:30:00",""
"19/12/2022 11:38:00","18/12/2022","Temperature, Actual, D+1","0.8756","19/12/2022 12:30:00",""
"18/12/2022 11:38:00","17/12/2022","Temperature, Actual, D+1","-0.0359","18/12/2022 12:30:00",""
"17/12/2022 11:38:00","16/12/2022","Temperature, Actual, D+1","-0.8481","17/12/2022 12:30:00",""
"16/12/2022 11:38:00","15/12/2022","Temperature, Actual, D+1","-1.0498","16/12/2022 12:30:00",""
"15/12/2022 11:38:00","14/12/2022","Temperature, Actual, D+1","-1.0504","15/12/2022 12:30:00",""
"14/12/2022 11:38:00","13/12/2022","Temperature, Actual, D+1","-0.6301","14/12/2022 12:30:00",""
"13/12/2022 11:38:00","12/12/2022","Temperature, Actual, D+1","-0.5477","13/12/2022 12:30:00",""
"12/12/2022 11:38:00","11/12/2022","Temperature, Actual, D+1","-0.0319","12/12/2022 12:30:00",""
"11/12/2022 11:38:00","10/12/2022","Temperature, Actual, D+1","0.7623","11/12/2022 12:30:00",""
"10/12/2022 11:38:00","09/12/2022","Temperature, Actual, D+1","0.7820","10/12/2022 12:30:00",""
"09/12/2022 11:38:00","08/12/2022","Temperature, Actual, D+1","1.4984","09/12/2022 12:30:00",""
"08/12/2022 11:38:00","07/12/2022","Temperature, Actual, D+1","2.6627","08/12/2022 12:30:00",""
"07/12/2022 11:38:00","06/12/2022","Temperature, Actual, D+1","3.8513","07/12/2022 12:30:00",""
"06/12/2022 11:38:00","05/12/2022","Temperature, Actual, D+1","4.2772","06/12/2022 12:30:00",""
"05/12/2022 11:38:00","04/12/2022","Temperature, Actual, D+1","3.6325","05/12/2022 12:30:00",""
"04/12/2022 11:38:01","03/12/2022","Temperature, Actual, D+1","4.2973","04/12/2022 12:30:00",""
"03/12/2022 11:38:00","02/12/2022","Temperature, Actual, D+1","4.3309","03/12/2022 12:30:00",""
"02/12/2022 11:38:00","01/12/2022","Temperature, Actual, D+1","4.6792","02/12/2022 12:30:00",""
"01/12/2022 11:38:00","30/11/2022","Temperature, Actual, D+1","5.1900","01/12/2022 12:30:00",""
"30/11/2022 11:38:00","29/11/2022","Temperature, Actual, D+1","5.5166","30/11/2022 12:30:00",""
"29/11/2022 11:38:00","28/11/2022","Temperature, Actual, D+1","7.0542","29/11/2022 12:30:00",""
"28/11/2022 11:38:00","27/11/2022","Temperature, Actual, D+1","8.1354","28/11/2022 12:30:00",""
"27/11/2022 11:38:00","26/11/2022","Temperature, Actual, D+1","7.8500","27/11/2022 12:30:00",""
"26/11/2022 11:38:00","25/11/2022","Temperature, Actual, D+1","7.4191","26/11/2022 12:30:00",""
"25/11/2022 11:38:00","24/11/2022","Temperature, Actual, D+1","6.7352","25/11/2022 12:30:00",""
"24/11/2022 11:38:00","23/11/2022","Temperature, Actual, D+1","6.4357","24/11/2022 12:30:00",""
"23/11/2022 11:38:00","22/11/2022","Temperature, Actual, D+1","6.0316","23/11/2022 12:30:00",""
"22/11/2022 11:38:00","21/11/2022","Temperature, Actual, D+1","5.1824","22/11/2022 12:30:00",""
"21/11/2022 11:38:00","20/11/2022","Temperature, Actual, D+1","6.5334","21/11/2022 12:30:00",""
"20/11/2022 11:38:00","19/11/2022","Temperature, Actual, D+1","7.1016","20/11/2022 12:30:00",""
"19/11/2022 11:38:00","18/11/2022","Temperature, Actual, D+1","7.6339","19/11/2022 12:30:00",""
"18/11/2022 11:38:00","17/11/2022","Temperature, Actual, D+1","7.4188","18/11/2022 12:30:00",""
"17/11/2022 11:38:00","16/11/2022","Temperature, Actual, D+1","8.1147","17/11/2022 12:30:00",""
"16/11/2022 11:38:00","15/11/2022","Temperature, Actual, D+1","8.7530","16/11/2022 12:30:00",""
"15/11/2022 11:38:00","14/11/2022","Temperature, Actual, D+1","9.6234","15/11/2022 12:30:00",""
"14/11/2022 11:38:00","13/11/2022","Temperature, Actual, D+1","10.2915","14/11/2022 12:30:00",""
"13/11/2022 11:38:01","12/11/2022","Temperature, Actual, D+1","10.7820","13/11/2022 12:30:00",""
"12/11/2022 11:38:01","11/11/2022","Temperature, Actual, D+1","11.1917","12/11/2022 12:30:00",""
"11/11/2022 11:38:01","10/11/2022","Temperature, Actual, D+1","10.5673","11/11/2022 12:30:00",""
"10/11/2022 11:38:00","09/11/2022","Temperature, Actual, D+1","9.7892","10/11/2022 12:30:00",""
"09/11/2022 11:38:02","08/11/2022","Temperature, Actual, D+1","9.8379","09/11/2022 12:30:00",""
"08/11/2022 11:38:00","07/11/2022","Temperature, Actual, D+1","9.8972","08/11/2022 12:30:00",""
"07/11/2022 11:38:00","06/11/2022","Temperature, Actual, D+1","8.9180","07/11/2022 12:30:00",""
"06/11/2022 11:38:01","05/11/2022","Temperature, Actual, D+1","8.7002","06/11/2022 12:30:00",""
"05/11/2022 11:38:00","04/11/2022","Temperature, Actual, D+1","8.5257","05/11/2022 12:30:00",""
"04/11/2022 11:38:00","03/11/2022","Temperature, Actual, D+1","9.2893","04/11/2022 12:30:00",""
"03/11/2022 11:38:02","02/11/2022","Temperature, Actual, D+1","10.2274","03/11/2022 12:30:00",""
"02/11/2022 11:38:00","01/11/2022","Temperature, Actual, D+1","10.6710","02/11/2022 13:33:01","L"
"01/11/2022 11:38:01","31/10/2022","Temperature, Actual, D+1","12.0508","01/11/2022 12:30:00",""
"31/10/2022 11:38:01","30/10/2022","Temperature, Actual, D+1","12.2997","31/10/2022 12:30:00",""
"30/10/2022 11:38:00","29/10/2022","Temperature, Actual, D+1","12.9445","30/10/2022 12:30:00",""
"29/10/2022 11:38:01","28/10/2022","Temperature, Actual, D+1","13.0182","29/10/2022 12:30:00",""
"28/10/2022 11:38:01","27/10/2022","Temperature, Actual, D+1","13.0849","28/10/2022 12:30:00",""
"27/10/2022 11:38:02","26/10/2022","Temperature, Actual, D+1","12.8072","27/10/2022 12:30:00",""
"26/10/2022 11:38:02","25/10/2022","Temperature, Actual, D+1","12.1230","26/10/2022 12:30:00",""
"25/10/2022 11:38:00","24/10/2022","Temperature, Actual, D+1","12.1042","25/10/2022 12:30:00",""
"24/10/2022 11:38:01","23/10/2022","Temperature, Actual, D+1","12.3734","24/10/2022 12:30:00",""
"23/10/2022 11:38:01","22/10/2022","Temperature, Actual, D+1","12.4816","23/10/2022 12:30:00",""
"22/10/2022 11:38:01","21/10/2022","Temperature, Actual, D+1","12.1701","22/10/2022 12:30:00",""
"21/10/2022 11:38:01","20/10/2022","Temperature, Actual, D+1","11.6813","21/10/2022 12:30:00",""
"20/10/2022 11:38:02","19/10/2022","Temperature, Actual, D+1","11.6987","20/10/2022 12:30:00",""
"19/10/2022 11:38:00","18/10/2022","Temperature, Actual, D+1","11.6817","19/10/2022 12:30:00",""
"18/10/2022 11:38:00","17/10/2022","Temperature, Actual, D+1","12.2764","18/10/2022 12:30:00",""
