"
",Churn,N2EX,EPEX SPOT,ICE,OTC,,
01/01/2010,3.5,0.35,1.16,2.98,114.5,,
01/02/2010,3.9,0.5,1.42,0.76,113.46,,
01/03/2010,4,0.5,1.84,0.43,118.9,,
01/04/2010,4.9,0.18,1.19,0.56,126.67,,
01/05/2010,4.3,1.73,1.37,0.48,109.05,,
01/06/2010,3.8,1.66,1.76,0.66,89.44,,
01/07/2010,3.4,1.58,1.37,2.51,80.92,,
01/08/2010,2.5,1.64,1.38,0.14,58.95,,
01/09/2010,2.6,2.4,1.88,0.94,59.19,,
01/10/2010,2.5,2.7,1.43,0.29,65.37,,
01/11/2010,2.7,3.19,1.76,0.41,74.34,,
01/12/2010,1.8,3.07,2.38,0.22,57.24,,
01/01/2011,2.4,2.8,1.77,0.63,73.72,,
01/02/2011,3.6,2.59,1.64,1.19,98.62,,
01/03/2011,4.4,2.54,2.08,1.51,128.35,,
01/04/2011,2.8,2.58,1.83,0.21,64.68,,
01/05/2011,2.1,2.87,1.82,0.05,48.82,,
01/06/2011,3.5,3.62,2.17,0.69,79.88,,
01/07/2011,3.4,3.08,1.67,0.56,78.67,,
01/08/2011,3.7,2.47,1.71,1.2,86.89,,
01/09/2011,3.5,3.39,2.06,1.27,81.8,,
01/10/2011,3,4.92,1.9,0.59,73.12,,
01/11/2011,3.5,6.43,2.06,2.93,86.51,,
01/12/2011,2,8.34,2.65,1.25,48.31,,
01/01/2012,3.2,7.89,1.68,1.99,88.61,,
01/02/2012,3.5,9.19,1.51,1.03,93.33,,
01/03/2012,3,10.86,1.79,1.31,70.23,,
01/04/2012,2.1,7.24,1.24,0.81,47.74,,
01/05/2012,3.3,7.37,1.25,2.1,77.04,,
01/06/2012,3.3,11.56,1.61,0.26,66.01,,
01/07/2012,3.2,11.7,1.3,0.91,64.2,,
01/08/2012,2.9,12.42,1.43,1.14,56.57,,
01/09/2012,2.8,16.61,1.73,2.01,49.5,,
01/10/2012,2.7,11.87,1.39,0.62,59.66,,
01/11/2012,2.6,11.29,1.5,0.28,62.18,,
01/12/2012,2,14.7,2.07,0.84,43.73,,
01/01/2013,3.1,11.69,1.78,0.98,83.68,,
01/02/2013,3.6,11.78,1.58,0.58,89.65,,
01/03/2013,2.4,14.53,2,1.17,55.62,,
01/04/2013,2.5,10.96,2.05,0.26,53.81,,
01/05/2013,2.9,10.23,2.05,0.17,61.17,,
01/06/2013,3.1,12.38,2.03,0.86,56.48,,
01/07/2013,2.9,10.13,1.87,0.26,58.21,,
01/08/2013,3.1,9.95,1.75,0.27,62.02,,
01/09/2013,3.2,13.18,1.85,0.66,62.1,,
01/10/2013,3.5,11.01,1.91,0.51,79.34,,
01/11/2013,2.6,11.56,1.9,0.55,60.32,,
01/12/2013,2.2,15.03,1.88,0.65,45.88,,
01/01/2014,3.4,11.43,1.73,0.73,89.98,,
01/02/2014,3.5,11.28,1.62,0.88,82.6,,
01/03/2014,3.6,13.61,2.03,0.39,86.67,,
01/04/2014,4.5,11.83,1.97,0.18,99.72,,
01/05/2014,3.4,11.5,2.14,0.24,71.51,,
01/06/2014,3.7,10.66,1.81,0.15,70.21,,
01/07/2014,3.6,10.66,1.97,0.22,72.53,,
01/08/2014,3.6,9.5,2.27,0.14,71.84,,
01/09/2014,3.6,10.11,2.1,0.1,73.68,,
01/10/2014,3.1,11.3,2.76,0.26,68.6,,
01/11/2014,2.9,11.76,2.73,0.44,65.37,,
01/12/2014,2.4,12.42,3.02,0.62,53.51,,
01/01/2015,3.3,12.51,3.19,0.99,87.8,,
01/02/2015,4.1,10.13,5.07,1.37,96.59,,
01/03/2015,3.6,9.4,4.74,1.47,88.79,,
01/04/2015,2.8,8.6,5.07,0.28,53.44,,
01/05/2015,2.6,8.89,5.41,0.59,46.98,,
01/06/2015,3,8.01,5.18,0.54,55.62,,
01/07/2015,3.9,8.03,5.3,1.04,78.31,,
01/08/2015,3.1,8.39,5.02,0.78,57.81,,
01/09/2015,3.6,8.28,5.39,0.7,72.31,,
01/10/2015,3.8,9.19,5.42,0.8,83.46,,
01/11/2015,3.4,9.39,5.77,0.92,78.29,,
01/12/2015,2.9,9.22,6.05,1,71.23,,
